date,open,high,low,close,volume,fng,fundrate,inflation
2018-04-19,8173.99,8296.0,8080.0,8278.0,222675105.7884542,25,1.69,2.1
2018-04-20,8273.84,8930.0,8177.09,8856.98,337288580.42571294,26,1.7,2.1
2018-04-21,8852.12,9035.0,8565.0,8915.31,358915978.10403395,32,1.7,2.1
2018-04-22,8915.31,9020.67,8727.68,8787.02,261804372.9093471,31,1.7,2.1
2018-04-23,8785.7,8985.0,8745.0,8934.01,229754640.59668773,28,1.7,2.1
2018-04-24,8934.0,9731.01,8922.0,9619.99,431210048.0625035,29,1.7,2.1
2018-04-25,9618.96,9759.82,8730.0,8869.99,745137762.9688668,64,1.7,2.1
2018-04-26,8869.99,9307.48,8651.62,9266.0,385046648.1378661,47,1.7,2.1
2018-04-27,9267.03,9395.0,8889.0,8915.35,342805674.55176014,55,1.7,2.1
2018-04-28,8915.35,9427.48,8870.0,9348.0,321653866.2001887,54,1.7,2.1
2018-04-29,9348.0,9570.51,9163.74,9419.0,357004895.9636862,61,1.7,2.1
2018-04-30,9417.04,9458.64,9124.99,9246.01,325019389.2499412,59,1.69,2.1
2018-05-01,9246.01,9248.99,8800.49,9071.48,368688349.6216845,56,1.7,2.1
2018-05-02,9071.48,9268.0,8970.2,9247.84,238421833.7581133,52,1.7,2.1
2018-05-03,9247.81,9844.0,9168.4,9750.0,366028365.2271445,55,1.7,2.1
2018-05-04,9750.0,9830.04,9520.85,9713.99,277565997.63316435,56,1.7,2.1
2018-05-05,9714.0,10020.0,9682.0,9864.0,246807563.50646487,63,1.7,2.1
2018-05-06,9863.99,9970.0,9417.03,9659.01,267359420.30359015,67,1.7,2.1
2018-05-07,9661.02,9689.67,9181.0,9365.0,316015961.44182944,56,1.7,2.1
2018-05-08,9365.0,9475.7,9060.54,9187.56,236418155.68693513,62,1.7,2.1
2018-05-09,9178.0,9390.0,8965.0,9310.0,235736782.28825977,53,1.7,2.1
2018-05-10,9310.0,9395.12,8970.0,9002.2,231595002.59561664,63,1.7,2.1
2018-05-11,9002.21,9016.8,8341.0,8400.0,418859806.4816156,41,1.7,2.103030303030303
2018-05-12,8405.94,8646.88,8153.0,8465.94,337899865.8601308,44,1.7,2.106060606060606
2018-05-13,8475.44,8763.36,8298.0,8679.71,219455683.08035553,40,1.7,2.1090909090909093
2018-05-14,8679.71,8879.99,8277.0,8663.34,320583612.23009104,40,1.7,2.1121212121212123
2018-05-15,8663.37,8859.99,8401.3,8462.0,242341031.0616692,40,1.7,2.1151515151515152
2018-05-16,8462.0,8488.0,8083.01,8330.0,257056552.43007565,32,1.7,2.118181818181818
2018-05-17,8330.0,8464.0,7979.0,8041.46,209489039.34104192,31,1.7,2.121212121212121
2018-05-18,8038.82,8273.21,7911.9,8239.81,189870380.85778692,37,1.7,2.1242424242424245
2018-05-19,8238.01,8390.8,8095.73,8233.49,141878775.40909585,31,1.7,2.1272727272727274
2018-05-20,8233.49,8609.0,8163.9,8526.98,167440553.7493928,32,1.7,2.1303030303030304
2018-05-21,8526.97,8595.31,8305.0,8381.24,181750674.82134953,41,1.7,2.1333333333333333
2018-05-22,8386.89,8400.18,7935.11,7977.11,194335432.4375409,30,1.7,2.1363636363636367
2018-05-23,7977.12,8031.9,7425.0,7501.95,331238049.64074606,26,1.7,2.13939393939394
2018-05-24,7501.95,7730.73,7266.99,7575.01,284286378.50810045,27,1.7,2.1424242424242426
2018-05-25,7578.99,7649.55,7308.15,7457.0,199749585.9695036,25,1.7,2.145454545454545
2018-05-26,7456.99,7620.0,7300.0,7333.96,145636226.4590289,23,1.7,2.1484848484848484
2018-05-27,7334.0,7400.0,7231.11,7338.99,136710618.49801704,19,1.7,2.151515151515152
2018-05-28,7338.99,7437.0,7058.02,7099.0,196788994.26580808,22,1.7,2.1545454545454548
2018-05-29,7099.0,7540.0,7032.95,7461.29,288070643.9128678,16,1.7,2.1575757575757577
2018-05-30,7467.98,7569.0,7260.5,7375.96,237956894.04949045,38,1.7,2.1606060606060606
2018-05-31,7382.07,7699.0,7327.51,7485.01,231017579.83413267,25,1.7,2.163636363636364
2018-06-01,7485.01,7608.55,7355.54,7521.01,211458512.1230823,24,1.7,2.166666666666667
2018-06-02,7521.01,7697.33,7437.0,7640.03,203370447.69065264,27,1.7,2.16969696969697
2018-06-03,7636.81,7786.69,7600.0,7714.26,211737376.85348508,40,1.7,2.172727272727273
2018-06-04,7714.26,7760.52,7446.5,7487.0,244167051.18701583,41,1.7,2.175757575757576
2018-06-05,7487.0,7679.49,7358.0,7625.0,237722147.65258065,26,1.7,2.1787878787878787
2018-06-06,7626.64,7699.0,7467.05,7658.84,207006657.7801965,42,1.7,2.181818181818182
2018-06-07,7658.79,7765.0,7620.0,7691.08,192949056.8419996,38,1.7,2.184848484848485
2018-06-08,7691.08,7703.5,7531.0,7603.44,178204158.39968467,40,1.7,2.187878787878788
2018-06-09,7603.44,7683.98,7450.0,7491.73,147171153.412775,39,1.7,2.190909090909091
