,0.3835983
277,0.42845508
278,0.42845508
279,0.42845508
280,0.42845508
281,0.42845508
282,0.42845508
283,0.42845508
284,0.42845508
285,0.42845508
286,0.42845508
287,0.42845508
288,0.42845508
289,0.42845508
290,0.42845508
291,0.42845508
292,0.42845508
293,0.42845508
294,0.42845508
295,0.42845508
296,0.42845508
297,0.42845508
298,0.42845508
299,0.42845508
300,0.42845508
301,0.42845508
302,0.42845508
303,0.42845508
304,0.42845508
305,0.42845508
306,0.42845508
307,0.42845508
308,0.42845508
309,0.42845508
310,0.42845508
311,0.42845508
312,0.42845508
313,0.42845508
314,0.42845508
315,0.42845508
316,0.42845508
317,0.42845508
318,0.42845508
319,0.42845508
320,0.42845508
321,0.42845508
322,0.42845508
323,0.42845508
324,0.42845508
325,0.42845508
326,0.42845508
327,0.42845508
328,0.42845508
329,0.42845508
330,0.42845508
331,0.42845508
332,0.42845508
333,0.42845508
334,0.42845508
335,0.42845508
336,0.42845508
337,0.42845508
338,0.42845508
339,0.42845508
340,0.42845508
341,0.42845508
342,0.42845508
343,0.42845508
344,0.42845508
345,0.42845508
346,0.42845508
347,0.42845508
348,0.42845508
349,0.42845508
350,0.42845508
351,0.42845508
352,0.42845508
353,0.42845508
354,0.42845508
355,0.42845508
356,0.42845508
357,0.42845508
358,0.42845508
359,0.42845508
360,0.42845508
361,0.42845508
362,0.42845508
363,0.42845508
364,0.42845508
365,0.42845508
366,0.42845508
367,0.42845508
368,0.42845508
369,0.42845508
370,0.42845508
371,0.42845508
372,0.42845508
373,0.42845508
374,0.42845508
375,0.42845508
376,0.42845508
377,0.42845508
378,0.42845508
379,0.42845508
380,0.42845508
381,0.42845508
382,0.42845508
383,0.42845508
384,0.42845508
385,0.42845508
386,0.42845508
387,0.42845508
388,0.42845508
389,0.42845508
390,0.42845508
391,0.42845508
392,0.42845508
393,0.42845508
394,0.42845508
395,0.42845508
396,0.42845508
397,0.42845508
398,0.42845508
399,0.42845508
400,0.42845508
401,0.42845508
402,0.42845508
403,0.42845508
404,0.42845508
405,0.42845508
406,0.42845508
407,0.42845508
408,0.42845508
409,0.42845508
410,0.42845508
411,0.42845508
412,0.42845508
413,0.42845508
414,0.42845508
415,0.42845508
416,0.42845508
417,0.42845508
418,0.42845508
419,0.42845508
420,0.42845508
421,0.42845508
422,0.42845508
423,0.42845508
424,0.42845508
425,0.42845508
426,0.42845508
427,0.42845508
428,0.42845508
429,0.42845508
430,0.42845508
431,0.42845508
432,0.42845508
433,0.42845508
434,0.42845508
435,0.42845508
436,0.42845508
437,0.42845508
438,0.42845508
439,0.42845508
440,0.42845508
441,0.42845508
442,0.42845508
443,0.42845508
444,0.42845508
445,0.42845508
446,0.42845508
447,0.42845508
448,0.42845508
449,0.42845508
450,0.42845508
451,0.42845508
452,0.42845508
453,0.42845508
454,0.42845508
455,0.42845508
456,0.42845508
457,0.42845508
458,0.42845508
459,0.42845508
460,0.42845508
461,0.42845508
462,0.42845508
463,0.42845508
464,0.42845508
465,0.42845508
466,0.42845508
467,0.42845508
468,0.42845508
469,0.42845508
470,0.42845508
471,0.42845508
472,0.42845508
473,0.42845508
474,0.42845508
475,0.42845508
476,0.42845508
477,0.42845508
478,0.42845508
479,0.42845508
480,0.42845508
481,0.42845508
482,0.42845508
483,0.42845508
484,0.42845508
485,0.42845508
486,0.42845508
487,0.42845508
488,0.42845508
489,0.42845508
490,0.42845508
491,0.42845508
492,0.42845508
493,0.42845508
494,0.42845508
495,0.42845508
496,0.42845508
497,0.42845508
498,0.42845508
499,0.42845508
500,0.42845508
501,0.42845508
502,0.42845508
503,0.42845508
504,0.42845508
505,0.42845508
506,0.42845508
507,0.42845508
508,0.42845508
509,0.42845508
510,0.42845508
511,0.42845508
512,0.42845508
513,0.42845508
514,0.42845508
515,0.42845508
516,0.42845508
517,0.42845508
518,0.42845508
519,0.42845508
520,0.42845508
521,0.42845508
522,0.42845508
523,0.42845508
524,0.42845508
525,0.42845508
526,0.42845508
527,0.42845508
528,0.42845508
529,0.42845508
530,0.42845508
531,0.42845508
532,0.42845508
533,0.42845508
534,0.42845508
535,0.42845508
536,0.42845508
537,0.42845508
538,0.42845508
539,0.42845508
540,0.42845508
541,0.42845508
542,0.42845508
543,0.42845508
544,0.42845508
545,0.42845508
546,0.42845508
547,0.42845508
548,0.42845508
549,0.42845508
550,0.42845508
551,0.42845508
552,0.42845508
553,0.42845508
554,0.42845508
555,0.42845508
556,0.42845508
557,0.42845508
558,0.42845508
559,0.42845508
560,0.42845508
561,0.42845508
562,0.42845508
563,0.42845508
564,0.42845508
565,0.42845508
566,0.42845508
567,0.42845508
568,0.42845508
569,0.42845508
570,0.42845508
571,0.42845508
572,0.42845508
573,0.42845508
574,0.42845508
575,0.42845508
576,0.42845508
577,0.42845508
578,0.42845508
579,0.42845508
580,0.42845508
581,0.42845508
582,0.42845508
583,0.42845508
584,0.42845508
585,0.42845508
586,0.42845508
587,0.42845508
588,0.42845508
589,0.42845508
590,0.42845508
591,0.42845508
592,0.42845508
593,0.42845508
594,0.42845508
595,0.42845508
596,0.42845508
597,0.42845508
598,0.42845508
599,0.42845508
600,0.42845508
601,0.42845508
602,0.42845508
603,0.42845508
604,0.42845508
605,0.42845508
606,0.42845508
607,0.42845508
608,0.42845508
609,0.42845508
610,0.42845508
611,0.42845508
612,0.42845508
613,0.42845508
614,0.42845508
615,0.42845508
616,0.42845508
617,0.42845508
618,0.42845508
619,0.42845508
620,0.42845508
621,0.42845508
622,0.42845508
623,0.42845508
624,0.42845508
625,0.42845508
626,0.42845508
627,0.42845508
628,0.42845508
629,0.42845508
630,0.42845508
631,0.42845508
632,0.42845508
633,0.42845508
