day,date,nyhlr,high1,low1,close1,volume1
Wed,03-17-2021,8.6923,8.6923,8.6923,8.6923,0
Tue,03-16-2021,15.133,15.133,15.133,15.133,0
Mon,03-15-2021,30.800,30.800,30.800,30.800,0
Fri,03-12-2021,37.308,37.308,37.308,37.308,0
Thu,03-11-2021,73.000,73.000,73.000,73.000,0
Wed,03-10-2021,28.000,28.000,28.000,28.000,0
Tue,03-09-2021,30.889,30.889,30.889,30.889,0
Mon,03-08-2021,30.733,30.733,30.733,30.733,0
Fri,03-05-2021,2.3118,2.3118,2.3118,2.3118,0
Thu,03-04-2021,1.0389,1.0389,1.0389,1.0389,0
Wed,03-03-2021,3.9428,3.9428,3.9428,3.9428,0
Tue,03-02-2021,1.6966,1.6966,1.6966,1.6966,0
Mon,03-01-2021,8.7200,8.7200,8.7200,8.7200,0
Fri,02-26-2021,0.8769,0.8769,0.8769,0.8769,0
Thu,02-25-2021,4.7704,4.7704,4.7704,4.7704,0
Wed,02-24-2021,18.762,18.762,18.762,18.762,0
Tue,02-23-2021,4.7674,4.7674,4.7674,4.7674,0
Mon,02-22-2021,22.133,22.133,22.133,22.133,0
Fri,02-19-2021,28.875,28.875,28.875,28.875,0
Thu,02-18-2021,9.1818,9.1818,9.1818,9.1818,0
Wed,02-17-2021,16.400,16.400,16.400,16.400,0
Tue,02-16-2021,42.444,42.444,42.444,42.444,0
Fri,02-12-2021,48.800,48.800,48.800,48.800,0
Thu,02-11-2021,30.250,30.250,30.250,30.250,0
Wed,02-10-2021,57.167,57.167,57.167,57.167,0
Tue,02-09-2021,166.00,166.00,166.00,166.00,0
Mon,02-08-2021,157.50,157.50,157.50,157.50,0
Fri,02-05-2021,143.00,143.00,143.00,143.00,0
Thu,02-04-2021,69.000,69.000,69.000,69.000,0
Wed,02-03-2021,138.00,138.00,138.00,138.00,0
Tue,02-02-2021,132.00,132.00,132.00,132.00,0
Mon,02-01-2021,44.500,44.500,44.500,44.500,0
Fri,01-29-2021,10.800,10.800,10.800,10.800,0
Thu,01-28-2021,6.8888,6.8888,6.8888,6.8888,0
Wed,01-27-2021,3.5757,3.5757,3.5757,3.5757,0
Tue,01-26-2021,49.000,49.000,49.000,49.000,0
Mon,01-25-2021,143.50,143.50,143.50,143.50,0
Fri,01-22-2021,81.500,81.500,81.500,81.500,0
Thu,01-21-2021,212.00,212.00,212.00,212.00,0
Wed,01-20-2021,231.00,231.00,231.00,231.00,0
Tue,01-19-2021,67.667,67.667,67.667,67.667,0
Fri,01-15-2021,26.750,26.750,26.750,26.750,0
Thu,01-14-2021,116.67,116.67,116.67,116.67,0
Wed,01-13-2021,139.00,139.00,139.00,139.00,0
Tue,01-12-2021,32.182,32.182,32.182,32.182,0
Mon,01-11-2021,36.600,36.600,36.600,36.600,0
Fri,01-08-2021,322.00,322.00,322.00,322.00,0
Thu,01-07-2021,75.000,75.000,75.000,75.000,0
Wed,01-06-2021,62.333,62.333,62.333,62.333,0
Tue,01-05-2021,28.500,28.500,28.500,28.500,0
Mon,01-04-2021,33.400,33.400,33.400,33.400,0
Thu,12-31-2020,30.600,30.600,30.600,30.600,0
Wed,12-30-2020,66.500,66.500,66.500,66.500,0
Tue,12-29-2020,21.400,21.400,21.400,21.400,0
Mon,12-28-2020,50.000,50.000,50.000,50.000,0
Thu,12-24-2020,95.500,95.500,95.500,95.500,0
Wed,12-23-2020,70.000,70.000,70.000,70.000,0
Tue,12-22-2020,74.000,74.000,74.000,74.000,0
Mon,12-21-2020,29.500,29.500,29.500,29.500,0
Fri,12-18-2020,67.500,67.500,67.500,67.500,0
Thu,12-17-2020,41.000,41.000,41.000,41.000,0
Wed,12-16-2020,23.500,23.500,23.500,23.500,0
Tue,12-15-2020,31.200,31.200,31.200,31.200,0
Mon,12-14-2020,110.50,110.50,110.50,110.50,0
Fri,12-11-2020,100.50,100.50,100.50,100.50,0
Thu,12-10-2020,59.333,59.333,59.333,59.333,0
Wed,12-09-2020,167.50,167.50,167.50,167.50,0
Tue,12-08-2020,83.000,83.000,83.000,83.000,0
Mon,12-07-2020,143.00,143.00,143.00,143.00,0
Fri,12-04-2020,69.750,69.750,69.750,69.750,0
Thu,12-03-2020,90.500,90.500,90.500,90.500,0
Wed,12-02-2020,21.000,21.000,21.000,21.000,0
Tue,12-01-2020,54.000,54.000,54.000,54.000,0
Mon,11-30-2020,42.500,42.500,42.500,42.500,0
Fri,11-27-2020,191.00,191.00,191.00,191.00,0
Wed,11-25-2020,141.00,141.00,141.00,141.00,0
Tue,11-24-2020,71.500,71.500,71.500,71.500,0
Mon,11-23-2020,67.333,67.333,67.333,67.333,0
Fri,11-20-2020,19.200,19.200,19.200,19.200,0
Thu,11-19-2020,12.833,12.833,12.833,12.833,0
Wed,11-18-2020,54.000,54.000,54.000,54.000,0
Tue,11-17-2020,136.00,136.00,136.00,136.00,0
Mon,11-16-2020,66.000,66.000,66.000,66.000,0
Fri,11-13-2020,12.200,12.200,12.200,12.200,0
Thu,11-12-2020,4.7142,4.7142,4.7142,4.7142,0
Wed,11-11-2020,6.7142,6.7142,6.7142,6.7142,0
Tue,11-10-2020,6.8000,6.8000,6.8000,6.8000,0
Mon,11-09-2020,28.750,28.750,28.750,28.750,0
Fri,11-06-2020,6.0909,6.0909,6.0909,6.0909,0
Thu,11-05-2020,9.4117,9.4117,9.4117,9.4117,0
Wed,11-04-2020,6.5714,6.5714,6.5714,6.5714,0
Tue,11-03-2020,4.7692,4.7692,4.7692,4.7692,0
Mon,11-02-2020,1.1034,1.1034,1.1034,1.1034,0
Fri,10-30-2020,0.2968,0.2968,0.2968,0.2968,0
Thu,10-29-2020,0.2298,0.2298,0.2298,0.2298,0
Wed,10-28-2020,0.1428,0.1428,0.1428,0.1428,0
Tue,10-27-2020,0.9117,0.9117,0.9117,0.9117,0
Mon,10-26-2020,0.3111,0.3111,0.3111,0.3111,0
Fri,10-23-2020,3.3333,3.3333,3.3333,3.3333,0
Thu,10-22-2020,1.8846,1.8846,1.8846,1.8846,0
Wed,10-21-2020,2.3846,2.3846,2.3846,2.3846,0
Tue,10-20-2020,5.9166,5.9166,5.9166,5.9166,0
Mon,10-19-2020,4.0952,4.0952,4.0952,4.0952,0
Fri,10-16-2020,13.556,13.556,13.556,13.556,0
Thu,10-15-2020,3.6500,3.6500,3.6500,3.6500,0
Wed,10-14-2020,4.6315,4.6315,4.6315,4.6315,0
Tue,10-13-2020,5.8823,5.8823,5.8823,5.8823,0
Mon,10-12-2020,13.571,13.571,13.571,13.571,0
Fri,10-09-2020,10.470,10.470,10.470,10.470,0
Thu,10-08-2020,11.571,11.571,11.571,11.571,0
Wed,10-07-2020,5.9565,5.9565,5.9565,5.9565,0
Tue,10-06-2020,8.2222,8.2222,8.2222,8.2222,0
Mon,10-05-2020,5.4090,5.4090,5.4090,5.4090,0
Fri,10-02-2020,1.8108,1.8108,1.8108,1.8108,0
Thu,10-01-2020,3.5454,3.5454,3.5454,3.5454,0
Wed,09-30-2020,5.0000,5.0000,5.0000,5.0000,0
Tue,09-29-2020,5.0909,5.0909,5.0909,5.0909,0
Mon,09-28-2020,4.9000,4.9000,4.9000,4.9000,0
Fri,09-25-2020,0.6400,0.6400,0.6400,0.6400,0
Thu,09-24-2020,0.1250,0.1250,0.1250,0.1250,0
Wed,09-23-2020,0.5185,0.5185,0.5185,0.5185,0
Tue,09-22-2020,1.1538,1.1538,1.1538,1.1538,0
Mon,09-21-2020,0.4523,0.4523,0.4523,0.4523,0
Fri,09-18-2020,3.0000,3.0000,3.0000,3.0000,0
Thu,09-17-2020,4.1818,4.1818,4.1818,4.1818,0
Wed,09-16-2020,12.714,12.714,12.714,12.714,0
Tue,09-15-2020,10.000,10.000,10.000,10.000,0
Mon,09-14-2020,5.0000,5.0000,5.0000,5.0000,0
Fri,09-11-2020,1.3333,1.3333,1.3333,1.3333,0
Thu,09-10-2020,2.5909,2.5909,2.5909,2.5909,0
Wed,09-09-2020,2.3125,2.3125,2.3125,2.3125,0
Tue,09-08-2020,1.0416,1.0416,1.0416,1.0416,0
Fri,09-04-2020,1.5500,1.5500,1.5500,1.5500,0
Thu,09-03-2020,3.1428,3.1428,3.1428,3.1428,0
Wed,09-02-2020,13.750,13.750,13.750,13.750,0
Tue,09-01-2020,7.0000,7.0000,7.0000,7.0000,0
Mon,08-31-2020,8.5555,8.5555,8.5555,8.5555,0
Fri,08-28-2020,5.8333,5.8333,5.8333,5.8333,0
Thu,08-27-2020,8.4166,8.4166,8.4166,8.4166,0
Wed,08-26-2020,8.0909,8.0909,8.0909,8.0909,0
Tue,08-25-2020,7.2727,7.2727,7.2727,7.2727,0
Mon,08-24-2020,9.7000,9.7000,9.7000,9.7000,0
Fri,08-21-2020,2.2413,2.2413,2.2413,2.2413,0
Thu,08-20-2020,2.7000,2.7000,2.7000,2.7000,0
Wed,08-19-2020,4.1904,4.1904,4.1904,4.1904,0
Tue,08-18-2020,9.0909,9.0909,9.0909,9.0909,0
Mon,08-17-2020,8.2727,8.2727,8.2727,8.2727,0
Fri,08-14-2020,6.2857,6.2857,6.2857,6.2857,0
Thu,08-13-2020,19.667,19.667,19.667,19.667,0
Wed,08-12-2020,88.000,88.000,88.000,88.000,0
Tue,08-11-2020,39.333,39.333,39.333,39.333,0
Mon,08-10-2020,24.600,24.600,24.600,24.600,0
Fri,08-07-2020,12.250,12.250,12.250,12.250,0
Thu,08-06-2020,18.833,18.833,18.833,18.833,0
Wed,08-05-2020,37.500,37.500,37.500,37.500,0
Tue,08-04-2020,10.100,10.100,10.100,10.100,0
Mon,08-03-2020,7.2222,7.2222,7.2222,7.2222,0
Fri,07-31-2020,4.3684,4.3684,4.3684,4.3684,0
Thu,07-30-2020,6.3846,6.3846,6.3846,6.3846,0
Wed,07-29-2020,9.4615,9.4615,9.4615,9.4615,0
Tue,07-28-2020,10.000,10.000,10.000,10.000,0
Mon,07-27-2020,14.000,14.000,14.000,14.000,0
Fri,07-24-2020,9.0000,9.0000,9.0000,9.0000,0
Thu,07-23-2020,13.889,13.889,13.889,13.889,0
Wed,07-22-2020,22.800,22.800,22.800,22.800,0
Tue,07-21-2020,47.000,47.000,47.000,47.000,0
Mon,07-20-2020,11.300,11.300,11.300,11.300,0
Fri,07-17-2020,81.000,81.000,81.000,81.000,0
Thu,07-16-2020,9.6666,9.6666,9.6666,9.6666,0
Wed,07-15-2020,24.750,24.750,24.750,24.750,0
Tue,07-14-2020,2.2500,2.2500,2.2500,2.2500,0
Mon,07-13-2020,19.833,19.833,19.833,19.833,0
Fri,07-10-2020,9.2500,9.2500,9.2500,9.2500,0
Thu,07-09-2020,5.3125,5.3125,5.3125,5.3125,0
Wed,07-08-2020,7.1818,7.1818,7.1818,7.1818,0
