date,open,high,low,close,Volume USDT
2018-09-19 03:00:00,6349.19,6369,6327.54,6364.1,6556363.28
2018-09-19 02:00:00,6348.87,6351.35,6332.14,6349.19,7015451.94
2018-09-19 01:00:00,6321.96,6357,6320.13,6348.87,7352076.01
2018-09-19 00:00:00,6336.45,6337.15,6305,6321.96,7231498.25
2018-09-18 23:00:00,6358.32,6363,6328.64,6336.45,7696439.72
2018-09-18 22:00:00,6324.01,6368.99,6321.61,6358.32,10181967.89
2018-09-18 21:00:00,6325.25,6334,6312.53,6324.01,3990572.78
2018-09-18 20:00:00,6302,6344.08,6280,6325.25,7625524.89
2018-09-18 19:00:00,6335,6342.99,6285.51,6302,7549655.38
2018-09-18 18:00:00,6323.6,6344.85,6312.62,6335,8607962.83
2018-09-18 17:00:00,6352.98,6354.11,6305.47,6323.6,12357907.93
2018-09-18 16:00:00,6360.01,6371.74,6344.14,6352.98,8942238.1
2018-09-18 15:00:00,6363.04,6390,6334.69,6360.01,11079324.61
2018-09-18 14:00:00,6364.45,6379,6347.53,6363.04,9976739.53
2018-09-18 13:00:00,6328.92,6390,6328.16,6364.45,13254899.73
2018-09-18 12:00:00,6287.65,6346,6267,6328.92,13499338.85
2018-09-18 11:00:00,6249.93,6292.01,6234.44,6287.65,9961090.25
2018-09-18 10:00:00,6261.03,6269.73,6239.43,6249.93,5284732.56
2018-09-18 09:00:00,6261,6263.24,6242,6261.03,5217167.13
2018-09-18 08:00:00,6290.15,6296.81,6252.84,6261,5932067.91
2018-09-18 07:00:00,6273,6294.08,6270,6290.15,8896089.94
2018-09-18 06:00:00,6276.01,6285.5,6262.01,6273,6600886.6
2018-09-18 05:00:00,6265.01,6287.3,6262.1,6276.01,6294311.83
2018-09-18 04:00:00,6238.74,6270,6232.17,6265.01,8438985.83
2018-09-18 03:00:00,6249.57,6251.65,6228.52,6238.74,6837603.36
2018-09-18 02:00:00,6256.01,6259.56,6235.01,6249.57,7266113.12
2018-09-18 01:00:00,6250.99,6266.18,6245.6,6256.01,5763621.18
2018-09-18 00:00:00,6248.69,6260.79,6224.98,6250.99,6835960.25
2018-09-17 23:00:00,6249.01,6279.48,6247.21,6248.69,6587859.6
2018-09-17 22:00:00,6251.37,6275.99,6223.01,6249.01,6772164.16
2018-09-17 21:00:00,6222,6264.27,6222,6251.37,9167040.67
2018-09-17 20:00:00,6270,6270,6201,6222,13740697.32
2018-09-17 19:00:00,6298,6315,6243.08,6270,9923309.47
2018-09-17 18:00:00,6296.07,6320,6275.2,6298,11468425.27
2018-09-17 17:00:00,6264.77,6300,6264.77,6296.07,10211690.02
2018-09-17 16:00:00,6265.06,6301.64,6261.01,6264.77,11567874.15
2018-09-17 15:00:00,6354.78,6354.85,6225,6265.06,26853140.0
2018-09-17 14:00:00,6421.64,6428.71,6327,6354.78,20469318.53
2018-09-17 13:00:00,6452.74,6463.82,6390,6421.64,10241617.31
2018-09-17 12:00:00,6475.94,6475.94,6437.85,6452.74,9604306.66
2018-09-17 11:00:00,6478.1,6490,6465.1,6475.94,7243932.69
2018-09-17 10:00:00,6492.66,6504.97,6466.82,6478.1,6808701.56
2018-09-17 09:00:00,6476.19,6510,6417.51,6492.66,10755576.13
2018-09-17 08:00:00,6480.01,6483.17,6460.03,6476.19,5557079.59
2018-09-17 07:00:00,6482.2,6490,6460,6480.01,3334864.9
2018-09-17 06:00:00,6483.02,6494.57,6470.75,6482.2,2179938.19
2018-09-17 05:00:00,6477.07,6493.63,6462.98,6483.02,4207164.69
2018-09-17 04:00:00,6517.16,6521,6469.14,6477.07,5186046.58
2018-09-17 03:00:00,6517.47,6519.05,6503.03,6517.16,1416912.87
2018-09-17 02:00:00,6518.01,6520.68,6501,6517.47,2325083.85
2018-09-17 01:00:00,6523.71,6531.2,6511,6518.01,4083960.13
2018-09-17 00:00:00,6505,6533.84,6500,6523.71,12181544.44
2018-09-16 23:00:00,6499.78,6507,6490,6505,4751751.67
2018-09-16 22:00:00,6490,6502.04,6477.22,6499.78,6367796.52
2018-09-16 21:00:00,6502.24,6511.01,6485,6490,4791160.77
2018-09-16 20:00:00,6505.75,6517,6492.12,6502.24,7186142.62
2018-09-16 19:00:00,6487.96,6516,6483.13,6505.75,10396220.01
2018-09-16 18:00:00,6473.99,6493,6473.99,6487.96,5256762.53
2018-09-16 17:00:00,6480.83,6492,6409.74,6473.99,8236677.65
2018-09-16 16:00:00,6482,6490,6477.13,6480.83,5584727.99
2018-09-16 15:00:00,6476.5,6482,6464.01,6482,5521396.91
2018-09-16 14:00:00,6480.14,6482.76,6456.01,6476.5,6842886.32
2018-09-16 13:00:00,6502.73,6511,6475.01,6480.14,4257104.96
2018-09-16 12:00:00,6499.35,6508.34,6488.01,6502.73,7108069.96
2018-09-16 11:00:00,6509.88,6517.59,6492.5,6499.35,5871229.63
2018-09-16 10:00:00,6492.06,6520,6478,6509.88,8929891.3
2018-09-16 09:00:00,6485.99,6498.41,6476.68,6492.06,6136211.81
2018-09-16 08:00:00,6447.82,6498.97,6443.58,6485.99,5514681.41
2018-09-16 07:00:00,6462.47,6464.33,6445.01,6447.82,7963972.28
2018-09-16 06:00:00,6467.15,6472.26,6449.68,6462.47,8412283.42
2018-09-16 05:00:00,6454.9,6474.23,6442,6467.15,4742402.86
2018-09-16 04:00:00,6478.33,6486.21,6375.13,6454.9,12851879.23
2018-09-16 03:00:00,6499.01,6504.13,6469.23,6478.33,11055274.33
2018-09-16 02:00:00,6494.02,6507.17,6476,6499.01,4679751.92
2018-09-16 01:00:00,6511.07,6522.98,6486.35,6494.02,5981928.57
2018-09-16 00:00:00,6514.96,6524.62,6497.78,6511.07,7982133.44
2018-09-15 23:00:00,6517.95,6529.81,6514.95,6514.96,3513757.64
2018-09-15 22:00:00,6495,6535,6491.87,6517.95,4464310.51
2018-09-15 21:00:00,6533,6535,6470.42,6495,9499927.84
2018-09-15 20:00:00,6530,6537.98,6521.06,6533,4412754.28
2018-09-15 19:00:00,6523.02,6539.1,6506.67,6530,5891479.97
2018-09-15 18:00:00,6548.02,6549.97,6501.99,6523.02,7118862.74
2018-09-15 17:00:00,6547.51,6558,6527.85,6548.02,6000975.63
2018-09-15 16:00:00,6542.22,6556.76,6530.33,6547.51,5579287.35
2018-09-15 15:00:00,6540.02,6546.65,6520.81,6542.22,7957825.77
