date,open,high,low,close,Volume USDT,fng_value
2021-10-15 10:00:00,59364.99000000,59398.97000000,58848.95000000,59290.98000000,132464014.46775720,71
2021-10-15 11:00:00,59290.98000000,59537.61000000,59193.35000000,59527.99000000,102038437.97015970,71
2021-10-15 12:00:00,59527.99000000,59589.15000000,59187.66000000,59270.01000000,119220192.63055220,71
2021-10-15 13:00:00,59270.01000000,60361.50000000,59223.00000000,59962.25000000,281492892.36084436,71
2021-10-15 14:00:00,59962.26000000,60270.00000000,59620.00000000,60077.70000000,237140497.13321730,71
2021-10-15 15:00:00,60077.70000000,60116.20000000,59617.91000000,60038.36000000,171454899.66466170,71
2021-10-15 16:00:00,60038.36000000,61533.00000000,60001.91000000,61456.49000000,474105077.88105262,71
2021-10-15 17:00:00,61456.48000000,61880.00000000,61054.64000000,61762.00000000,290862002.59387984,71
2021-10-15 18:00:00,61762.01000000,61854.34000000,61521.00000000,61649.97000000,123900178.24047810,71
2021-10-15 19:00:00,61649.97000000,61675.21000000,61225.01000000,61446.32000000,123659804.58369860,71
2021-10-15 20:00:00,61446.33000000,62933.00000000,61140.27000000,62557.59000000,473256203.90306212,71
2021-10-15 21:00:00,62557.58000000,62583.65000000,60797.01000000,61209.41000000,232142655.98133130,71
2021-10-15 22:00:00,61209.42000000,61550.12000000,61205.83000000,61294.28000000,115073991.30145450,71
2021-10-15 23:00:00,61294.27000000,61805.55000000,60905.20000000,61672.42000000,120088009.88271570,71
2021-10-16 00:00:00,61672.42000000,61771.65000000,61182.13000000,61448.92000000,120467342.96211660,78
2021-10-16 01:00:00,61448.92000000,61560.00000000,61200.00000000,61393.07000000,78479375.92487160,78
2021-10-16 02:00:00,61393.07000000,61735.94000000,61120.00000000,61618.37000000,82667294.88027850,78
2021-10-16 03:00:00,61618.38000000,61742.04000000,61360.22000000,61655.99000000,61855633.76054610,78
2021-10-16 04:00:00,61655.99000000,62178.97000000,61551.31000000,61747.64000000,96639004.36338800,78
2021-10-16 05:00:00,61747.64000000,62378.42000000,61721.30000000,62133.82000000,99833909.06549130,78
2021-10-16 06:00:00,62133.83000000,62319.77000000,61856.00000000,61856.00000000,73166607.50588090,78
2021-10-16 07:00:00,61856.01000000,61975.29000000,61562.87000000,61733.96000000,71854963.91826880,78
2021-10-16 08:00:00,61733.96000000,62062.55000000,61446.39000000,61529.95000000,149877129.12918520,78
2021-10-16 09:00:00,61529.94000000,61650.00000000,61385.42000000,61424.73000000,113878258.19147050,78
2021-10-16 10:00:00,61424.72000000,61684.98000000,61324.79000000,61536.07000000,96621393.40840650,78
2021-10-16 11:00:00,61536.07000000,61762.63000000,61430.00000000,61597.26000000,83361702.28660870,78
2021-10-16 12:00:00,61597.26000000,61605.81000000,60398.73000000,60679.14000000,231820637.85463560,78
2021-10-16 13:00:00,60679.14000000,61100.00000000,60521.00000000,61017.59000000,127657909.35848810,78
2021-10-16 14:00:00,61017.61000000,61270.11000000,60750.00000000,60887.55000000,101127022.91410440,78
2021-10-16 15:00:00,60887.55000000,61130.00000000,60642.59000000,60941.04000000,93414880.26968890,78
2021-10-16 16:00:00,60941.04000000,61048.97000000,60515.91000000,60643.17000000,67473380.91015460,78
2021-10-16 17:00:00,60643.17000000,60705.19000000,60150.00000000,60593.01000000,117145324.99021020,78
2021-10-16 18:00:00,60593.00000000,61215.64000000,60512.26000000,61055.65000000,69790973.31257020,78
2021-10-16 19:00:00,61055.65000000,61085.81000000,60808.10000000,60834.34000000,43330337.00323810,78
2021-10-16 20:00:00,60834.34000000,61065.77000000,60545.95000000,61029.00000000,59664130.22486730,78
2021-10-16 21:00:00,61027.39000000,61300.00000000,60668.19000000,60670.18000000,55338530.98079380,78
2021-10-16 22:00:00,60670.18000000,60938.77000000,60500.00000000,60795.35000000,37890395.59493310,78
2021-10-16 23:00:00,60795.34000000,61088.60000000,60701.09000000,60875.57000000,40017919.99871370,78
2021-10-17 00:00:00,60875.57000000,61167.95000000,60475.76000000,60916.18000000,95791779.39297570,79
2021-10-17 01:00:00,60920.47000000,61405.94000000,60866.49000000,61077.62000000,75068978.92898920,79
2021-10-17 02:00:00,61077.63000000,61220.82000000,60849.56000000,61100.00000000,45822311.15409330,79
